,workerid,dependency_length,item_type,lexicalization,order,response,sentence,sentence_id,structure
1,324,,filler_good,NA,25,0.98,What did the mechanic replace in the engine?,2008,
2,324,short,acceptability,11,26,0.99,Who claimed that the gardener planted flowers near the fence?,1114,nonisland
3,324,,filler_good,NA,27,1,Which song did the band play as an encore?,2012,
4,324,,filler_bad,NA,28,0,What the letter that important very was mailed nobody did?,2028,
5,324,long,acceptability,17,29,1,What did Olivia claim that the secretary sent to the wrong department?,1173,nonisland
6,324,,filler_good,NA,30,1,What did the barista spill on the counter?,2005,
7,324,,filler_bad,NA,31,0.01,Why the waiter spilled was everyone the coffee laughing?,2031,
8,324,long,acceptability,18,32,0,What did Ben discuss the claim that the delivery driver dropped on the street?,1181,island
9,324,,filler_bad,NA,33,0.01,Who did the chair that broken completely sat on the chair?,2023,
10,324,,filler_bad,NA,34,0,What did the neighbor that barking dog kept complain about nobody?,2020,
11,324,short,acceptability,5,35,1,Who discussed the claim that the neighbor played loud music after midnight?,1052,island
12,324,,filler_good,NA,36,1,Where did the children hide the treasure?,2004,
13,324,,filler_good,NA,37,1,Where did the hikers set up their tent?,2010,
14,324,long,acceptability,20,38,0.23,What did the landlord discuss the claim that the plumber fixed before the inspection?,1201,island
15,324,,filler_bad,NA,39,0,Who the manager said forgot did the keys actually?,2030,
16,324,,filler_good,NA,40,0.97,Who did the coach choose as captain?,2015,
17,324,short,acceptability,23,41,0.97,Who discussed the claim that the lawyer filed the report too late?,1232,island
18,324,,filler_good,NA,42,1,Whose jacket did Alex find in the library?,2011,
19,324,,filler_good,NA,43,1,Which cookies did the baker put on the tray?,2014,
20,324,long,acceptability,1,44,1,What did John claim that the bakery shop would serve tomorrow?,1013,nonisland
21,324,,filler_bad,NA,45,0.25,Who did the rumor that dancing liked nobody believe?,2017,
22,324,,filler_bad,NA,46,0.01,Which restaurant the friends to last summer went closing is now did?,2025,
23,324,short,acceptability,24,47,1,Who claimed that the committee rejected the proposal without review?,1244,nonisland
24,324,,filler_bad,NA,48,0,Which song that the band to rehearsed never finished was?,2032,
25,324,,filler_good,NA,49,1,What did the cat knock off the shelf?,2016,
26,324,long,acceptability,19,50,0.79,What did Megan discuss the claim that the company released ahead of schedule?,1191,island
27,324,,filler_bad,NA,51,0,Why did raining was when the kids outside played?,2022,
28,324,,filler_good,NA,52,1,When did the train leave the station?,2013,
29,324,long,acceptability,22,53,1,What did Ethan claim that the scientist developed in the new lab?,1223,nonisland
30,324,,filler_good,NA,54,1,Which picture did the curator hang in the gallery?,2006,
31,324,,filler_bad,NA,55,0,Who the doctor that nervous looked yesterday treated did?,2021,
32,324,short,acceptability,14,56,1,Who discussed the claim that the chef added too much salt to the soup by mistake?,1142,island
33,324,,filler_bad,NA,57,0.02,Why the pilot said turbulence during was everyone panicking?,2024,
34,324,,filler_good,NA,58,0.98,Which book did Maya finish last night?,2003,
35,324,short,acceptability,12,59,1,Who claimed that the café overcharged the customer for coffee?,1124,nonisland
36,324,,filler_bad,NA,60,0.06,Who the bride during crying was the ceremony guests smiling did?,2026,
37,324,,filler_good,NA,61,0.99,What did Wendy bake for the party?,2001,
38,324,long,acceptability,21,62,0.95,What did Chloe claim that the chef burned during the dinner service?,1213,nonisland
39,324,,filler_good,NA,63,0.99,Where did the neighbors see the comet last night?,2007,
40,324,,filler_good,NA,64,0.98,Which movie did Carla watch on Friday?,2009,
41,324,long,acceptability,8,65,0.12,What did Liam discuss the claim that the bus driver skipped during the morning route?,1081,island
42,324,,filler_bad,NA,66,0,Where the suitcase that broken handle had left was did you?,2027,
43,324,,filler_bad,NA,67,0.03,What the tourists taking photos were of shouting did confuse?,2018,
44,324,short,acceptability,3,68,1,Who claimed that the airline canceled the morning flight to Chicago?,1034,nonisland
45,324,,filler_good,NA,69,1,Who did Liam invite to the picnic?,2002,
46,324,,filler_bad,NA,70,0.05,What did seem the girl that crying was in the hallway?,2029,
47,324,short,acceptability,10,71,0.97,Who discussed the claim that the museum restored the painting?,1102,island
48,324,,filler_bad,NA,72,0.01,When the cat jumped that scared loudly the child was?,2019,
49,180,,filler_good,NA,25,0.89,What did the mechanic replace in the engine?,2008,
50,180,long,acceptability,22,26,0.69,What did Ethan claim that the scientist developed in the new lab?,1223,nonisland
51,180,,filler_bad,NA,27,0.09,Who the doctor that nervous looked yesterday treated did?,2021,
52,180,,filler_bad,NA,28,0,What did seem the girl that crying was in the hallway?,2029,
53,180,short,acceptability,23,29,1,Who claimed that the lawyer filed the report too late?,1234,nonisland
54,180,,filler_good,NA,30,1,Who did the coach choose as captain?,2015,
55,180,,filler_bad,NA,31,0,What did the neighbor that barking dog kept complain about nobody?,2020,
56,180,short,acceptability,6,32,0.9,Who discussed the claim that the babysitter forgot to pick up the children after school?,1062,island
57,180,,filler_bad,NA,33,0,Why the pilot said turbulence during was everyone panicking?,2024,
58,180,,filler_good,NA,34,1,Which book did Maya finish last night?,2003,
59,180,long,acceptability,12,35,0.24,What did the manager discuss the claim that the café overcharged for coffee?,1121,island
60,180,,filler_good,NA,36,1,Where did the hikers set up their tent?,2010,
61,180,,filler_bad,NA,37,0.11,Where the suitcase that broken handle had left was did you?,2027,
62,180,short,acceptability,19,38,1,Who claimed that the company released the new software ahead of schedule?,1194,nonisland
63,180,,filler_bad,NA,39,0.35,Who the manager said forgot did the keys actually?,2030,
64,180,,filler_bad,NA,40,0,What the letter that important very was mailed nobody did?,2028,
65,180,long,acceptability,7,41,0.64,What did Nora claim that the scientist discovered in the final experiment?,1073,nonisland
66,180,,filler_good,NA,42,1,When did the train leave the station?,2013,
67,180,,filler_good,NA,43,0.78,Where did the neighbors see the comet last night?,2007,
68,180,short,acceptability,8,44,0.73,Who discussed the claim that the bus driver skipped several stops during the morning route?,1082,island
69,180,,filler_bad,NA,45,0.12,Which song that the band to rehearsed never finished was?,2032,
70,180,,filler_good,NA,46,0.92,Which song did the band play as an encore?,2012,
71,180,long,acceptability,20,47,0.47,What did the landlord discuss the claim that the plumber fixed before the inspection?,1201,island
72,180,,filler_good,NA,48,1,What did Wendy bake for the party?,2001,
73,180,,filler_bad,NA,49,0.15,Why did raining was when the kids outside played?,2022,
74,180,long,acceptability,9,50,0.05,What did Grace discuss the claim that the nurse gave to a patient?,1091,island
75,180,,filler_bad,NA,51,0.05,What the tourists taking photos were of shouting did confuse?,2018,
76,180,,filler_good,NA,52,1,Which picture did the curator hang in the gallery?,2006,
77,180,short,acceptability,24,53,1,Who claimed that the committee rejected the proposal without review?,1244,nonisland
