,workerid,is_filler,lexicalization,order,polarity,question,response,sentence,sentence_id,structure,trial_type
1,324,1,NA,2,negated,Was there a new history book in the library?,1,The student didn't read the new history book in the library.,3009,,negation_pre
2,324,0,6,4,base,Was there a claim that the babysitter forgot to pick up the children after school?,1,Julia discussed the claim that the babysitter forgot to pick up the children after school.,1065,,negation_pre
3,324,1,NA,6,base,Were there new books on the shelf?,1,The librarian organized the new books on the shelf.,3003,,negation_pre
4,324,1,NA,8,base,Were there fresh vegetables at the supermarket?,1,Emily bought fresh vegetables at the supermarket.,3002,,negation_pre
5,324,0,7,10,negated,Was there a claim that the scientist discovered an error in the final experiment?,1,Nora didn’t discuss the claim that the scientist discovered an error in the final experiment.,1076,,negation_pre
6,324,1,NA,12,negated,Was there a new schedule on the board?,1,The teacher didn't post the new schedule on the board.,3013,,negation_pre
7,324,1,NA,14,base,Was there a rare bird near the lake?,1,The hikers caught the rare bird near the lake.,3006,,negation_pre
8,324,0,2,16,negated,Was there a claim that the cat knocked over the vase?,1,Katie didn’t discuss the claim that the cat knocked over the vase.,1026,,negation_pre
9,324,1,NA,18,negated,Was there an ancient statue?,1,Ben didn't take pictures of the ancient statue.,3015,,negation_pre
10,324,1,NA,20,negated,Were there lecture slides online?,1,The professor didn't update the lecture slides online.,3016,,negation_pre
11,324,0,4,22,base,Was there a claim that the mechanic fixed the car after the accident?,1,Michael discussed the claim that the mechanic fixed the car after the accident.,1045,,negation_pre
12,324,1,NA,24,base,Were there plants on the balcony?,1,Anna watered the plants on the balcony.,3004,,negation_pre
13,324,1,NA,74,negated,Was there a heavy suitcase?,1,Christine didn't buy the heavy suitcase.,3028,,negation_post
14,324,0,9,76,negated,Was there a claim that the nurse gave the wrong medication to a patient?,1,Grace didn’t discuss the claim that the nurse gave the wrong medication to a patient.,1096,,negation_post
15,324,1,NA,78,base,Was there silver jewelry in the display case?,0.99,Maria polished the silver jewelry in the display case.,3021,,negation_post
16,324,1,NA,80,base,Were there confidential folders in the archive?,1,The assistant labeled the confidential folders in the archive.,3022,,negation_post
17,324,0,16,82,negated,Was there a claim that the author deleted a chapter from the final draft?,1,Thomas didn’t discuss the claim that the author deleted a chapter from the final draft.,1166,,negation_post
18,324,1,NA,84,negated,Was there a practice field for the team?,0.03,The coach didn't reserve the practice field for the team.,3027,,negation_post
19,324,1,NA,86,base,Was there an old piano in the practice hall?,1,The musician tuned the old piano in the practice hall.,3018,,negation_post
20,324,0,13,88,base,Was there a claim that the reporter misquoted the politician in the article?,0.99,Laura discussed the claim that the reporter misquoted the politician in the article.,1135,,negation_post
21,324,1,NA,90,negated,Were there important documents in the office?,1,The journalist didn't review the important documents in the office.,3025,,negation_post
22,324,1,NA,92,base,Was there a missing wallet under the table?,1,Frank found the missing wallet under the table.,3023,,negation_post
23,324,0,15,94,base,Was there a claim that the photographer lost the camera during the trip?,0.99,Rachel discussed the claim that the photographer lost the camera during the trip.,1155,,negation_post
24,324,1,NA,96,negated,Were there returned packages at the counter?,0.96,The clerk didn't sort the returned packages at the counter.,3032,,negation_post
25,180,1,NA,2,base,Was there a new history book in the library?,0.8,The student read the new history book in the library.,3001,,negation_pre
26,180,0,15,4,negated,Was there a claim that the photographer lost the camera during the trip?,0.86,Rachel didn’t discuss the claim that the photographer lost the camera during the trip.,1156,,negation_pre
27,180,1,NA,6,negated,Was there an ancient statue?,0.87,Ben didn't take pictures of the ancient statue.,3015,,negation_pre
28,180,1,NA,8,base,Were there fresh vegetables at the supermarket?,1,Emily bought fresh vegetables at the supermarket.,3002,,negation_pre
29,180,0,16,10,base,Was there a claim that the author deleted a chapter from the final draft?,1,Thomas discussed the claim that the author deleted a chapter from the final draft.,1165,,negation_pre
30,180,1,NA,12,base,Were there plants on the balcony?,1,Anna watered the plants on the balcony.,3004,,negation_pre
31,180,1,NA,14,base,Was there a new schedule on the board?,1,The teacher posted the new schedule on the board.,3005,,negation_pre
32,180,0,18,16,base,Was there a claim that the delivery driver dropped the package on the street?,0.77,Ben discussed the claim that the delivery driver dropped the package on the street.,1185,,negation_pre
