id,type,question,response,sentence,sentence_id,trial_sequence_total,wrong_practice
324,practice_good,,0.99,,NA,0,0
324,practice_bad,,0,,NA,0,0
324,,Was there a festival yesterday?,1,John didn’t buy anything at the festival yesterday.,NA,NA,NA
324,,,NA,The student didn't read the new history book in the library.,3009,NA,NA
324,,Was there a new history book in the library?,1,The student didn't read the new history book in the library.,3009,NA,NA
324,,,NA,Julia discussed the claim that the babysitter forgot to pick up the children after school.,1065,NA,NA
324,,Was there a claim that the babysitter forgot to pick up the children after school?,1,Julia discussed the claim that the babysitter forgot to pick up the children after school.,1065,NA,NA
324,,,NA,The librarian organized the new books on the shelf.,3003,NA,NA
324,,Were there new books on the shelf?,1,The librarian organized the new books on the shelf.,3003,NA,NA
324,,,NA,Emily bought fresh vegetables at the supermarket.,3002,NA,NA
324,,Were there fresh vegetables at the supermarket?,1,Emily bought fresh vegetables at the supermarket.,3002,NA,NA
324,,,NA,Nora didn’t discuss the claim that the scientist discovered an error in the final experiment.,1076,NA,NA
324,,Was there a claim that the scientist discovered an error in the final experiment?,1,Nora didn’t discuss the claim that the scientist discovered an error in the final experiment.,1076,NA,NA
324,,,NA,The teacher didn't post the new schedule on the board.,3013,NA,NA
324,,Was there a new schedule on the board?,1,The teacher didn't post the new schedule on the board.,3013,NA,NA
324,,,NA,The hikers caught the rare bird near the lake.,3006,NA,NA
324,,Was there a rare bird near the lake?,1,The hikers caught the rare bird near the lake.,3006,NA,NA
324,,,NA,Katie didn’t discuss the claim that the cat knocked over the vase.,1026,NA,NA
324,,Was there a claim that the cat knocked over the vase?,1,Katie didn’t discuss the claim that the cat knocked over the vase.,1026,NA,NA
324,,,NA,Ben didn't take pictures of the ancient statue.,3015,NA,NA
324,,Was there an ancient statue?,1,Ben didn't take pictures of the ancient statue.,3015,NA,NA
324,,,NA,The professor didn't update the lecture slides online.,3016,NA,NA
324,,Were there lecture slides online?,1,The professor didn't update the lecture slides online.,3016,NA,NA
